iter	Passed	Remaining
0	153	153072
1	159	79373
2	164	54578
3	169	42318
4	175	34979
5	181	30007
6	186	26509
7	192	23897
8	198	21852
9	204	20216
10	210	18914
11	217	17888
12	223	17002
13	230	16245
14	237	15584
15	244	15031
16	251	14553
17	258	14125
18	266	13745
19	273	13425
20	281	13112
21	288	12815
22	295	12545
23	302	12300
24	309	12078
25	316	11873
26	324	11686
27	331	11513
28	339	11359
29	346	11218
30	354	11074
31	362	10956
32	370	10855
33	378	10767
34	387	10685
35	396	10620
36	405	10550
37	414	10500
38	423	10430
39	432	10369
40	440	10313
41	448	10229
42	456	10150
43	464	10088
44	472	10023
45	481	9978
46	489	9922
47	497	9863
48	504	9799
49	512	9737
50	521	9707
51	529	9645
52	537	9598
53	545	9548
54	551	9483
55	559	9432
56	566	9379
57	574	9324
58	581	9272
59	588	9217
60	595	9165
61	602	9116
62	609	9062
63	616	9010
64	623	8966
65	631	8932
66	638	8893
67	645	8850
68	652	8808
69	660	8772
70	668	8745
71	675	8708
72	682	8670
73	689	8629
74	696	8594
75	704	8560
76	711	8526
77	718	8489
78	725	8454
79	732	8420
80	739	8389
81	746	8356
82	753	8326
83	760	8297
84	768	8267
85	775	8238
86	782	8208
87	789	8180
88	797	8161
89	804	8133
90	811	8103
91	818	8075
92	827	8070
93	834	8041
94	841	8015
95	848	7990
96	855	7967
97	864	7955
98	873	7946
99	881	7937
100	890	7923
101	899	7920
102	907	7906
103	916	7895
104	925	7888
105	934	7879
106	943	7870
107	951	7856
108	959	7841
109	967	7831
110	976	7820
111	984	7807
112	993	7800
113	1002	7790
114	1011	7781
115	1019	7769
116	1028	7759
117	1036	7749
118	1044	7735
119	1052	7718
120	1060	7702
121	1067	7684
122	1075	7665
123	1082	7649
124	1090	7630
125	1097	7615
126	1105	7601
127	1114	7592
128	1122	7577
129	1130	7564
130	1137	7547
131	1144	7528
132	1152	7510
133	1158	7488
134	1165	7468
135	1172	7447
136	1179	7428
137	1187	7417
138	1195	7404
139	1202	7384
140	1208	7364
141	1215	7346
142	1222	7329
143	1229	7310
144	1236	7291
145	1243	7273
